=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 10:24:38 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 475
 
Up threshold:   f_up_thr = 64
Up threshold:   f_up_thr = 31
Up threshold:   f_up_thr = 33
 
Up threshold:   f_up_thr = 324
Down threshold:   f_down_thr = 439
Up threshold:   f_up_thr = 377
Trial 1 started
time, up, down, lbl_up, lbl_down
13.7630, 360, 518, 1, 0
13.7900, 353, 521, 1, 0
13.8150, 349, 525, 1, 0
13.8410, 350, 527, 1, 0
13.8670, 346, 529, 1, 0
13.8930, 344, 532, 1, 0
13.9200, 345, 534, 1, 0
13.9450, 344, 536, 1, 0
13.9710, 339, 540, 1, 0
13.9980, 340, 542, 1, 0
14.0230, 341, 543, 1, 0
14.0500, 340, 544, 1, 0
14.0750, 340, 545, 1, 0
14.1010, 342, 545, 1, 0
14.1280, 343, 545, 1, 0
14.1530, 344, 546, 1, 0
14.1800, 345, 545, 1, 0
14.2050, 346, 545, 1, 0
14.2310, 347, 545, 1, 0
14.2580, 349, 543, 1, 0
14.2830, 351, 542, 1, 0
14.3090, 352, 542, 1, 0
14.3350, 352, 543, 1, 0
14.3610, 354, 542, 1, 0
14.3880, 355, 540, 1, 0
14.4130, 356, 540, 1, 0
14.4390, 356, 540, 1, 0
14.4650, 357, 537, 1, 0
14.4910, 358, 538, 1, 0
14.5180, 358, 537, 1, 0
14.5430, 359, 533, 1, 0
14.5690, 361, 530, 1, 0
14.5960, 362, 530, 1, 0
14.6210, 363, 526, 1, 0
14.6480, 366, 520, 1, 0
14.6730, 369, 518, 1, 0
14.6990, 371, 515, 1, 0
14.7260, 374, 511, 1, 0
14.7510, 379, 507, 0, 0
14.7780, 383, 503, 0, 0
14.8030, 388, 498, 0, 0
14.8290, 393, 494, 0, 0
14.8560, 396, 493, 0, 0
14.8810, 397, 491, 0, 0
14.9070, 399, 489, 0, 0
14.9330, 401, 487, 0, 0
14.9590, 402, 487, 0, 0
14.9860, 403, 484, 0, 0
15.0110, 405, 482, 0, 0
15.0370, 407, 480, 0, 0
15.0640, 408, 481, 0, 0
15.0890, 408, 483, 0, 0
15.1160, 408, 484, 0, 0
15.1410, 408, 485, 0, 0
15.1670, 407, 487, 0, 0
15.1940, 407, 488, 0, 0
15.2190, 407, 489, 0, 0
15.2460, 406, 490, 0, 0
15.2710, 407, 489, 0, 0
15.2970, 408, 489, 0, 0
15.3240, 407, 490, 0, 0
15.3490, 408, 490, 0, 0
15.3760, 408, 490, 0, 0
15.4010, 408, 491, 0, 0
15.4270, 408, 491, 0, 0
15.4540, 408, 491, 0, 0
15.4790, 404, 493, 0, 0
15.5050, 402, 494, 0, 0
15.5310, 402, 495, 0, 0
15.5570, 402, 496, 0, 0
15.5840, 400, 496, 0, 0
15.6090, 400, 497, 0, 0
15.6350, 398, 498, 0, 0
15.6620, 389, 501, 0, 0
15.6870, 387, 503, 0, 0
15.7140, 387, 504, 0, 0
15.7390, 385, 505, 0, 0
15.7650, 380, 507, 0, 0
15.7920, 377, 509, 0, 0
15.8170, 373, 511, 1, 0
15.8440, 365, 515, 1, 0
15.8690, 362, 519, 1, 0
15.8950, 360, 520, 1, 0
15.9220, 355, 522, 1, 0
15.9470, 352, 525, 1, 0
15.9730, 352, 527, 1, 0
15.9990, 349, 529, 1, 0
16.0250, 342, 533, 1, 0
16.0520, 338, 538, 1, 0
16.0770, 339, 540, 1, 0
16.1030, 336, 543, 1, 0
16.1290, 335, 545, 1, 0
16.1550, 337, 547, 1, 0
16.1820, 336, 547, 1, 0
16.2070, 336, 549, 1, 0
16.2330, 337, 549, 1, 0
